author_id,author_name,author_url,crowdsourced_gender,notes_for_other_gender,crowdsourced_race,notes_for_other_race,comment_about_where_the_info_was_found
2942751206,robert b waide,https://academic.microsoft.com/author/2942751206/,male,,White/European,,https://biology.unm.edu/core-faculty/waide.shtml
2100188475,stig johansson,https://academic.microsoft.com/author/2100188475/,male,,White/European,,https://www.universitetsforlaget.no/Bli-forfatter/Vaare-forfattere/Stig_Johansson
2627622934,d c phillips,https://academic.microsoft.com/author/2627622934/,male,,White/European,,
734721359,c a knox lovell,https://academic.microsoft.com/author/734721359/,male,,White/European,,https://economics.uq.edu.au/profile/2114/knox-lovell
2137172369,richard p lippmann,https://academic.microsoft.com/author/2137172369/,male,,White/European,,
2294766364,lizhu zhang,https://academic.microsoft.com/author/2294766364/,male,,East Asian,,
2038078782,klaus harbich,https://academic.microsoft.com/author/2038078782/,male,,White/European,,
2310000115,janet l wiener,https://academic.microsoft.com/author/2310000115/,female,,White/European,,http://www10.org/cdrom/papers/208/
842233868,filippo radicchi,https://academic.microsoft.com/author/842233868/,male,,White/European,,
2010447242,sebastiano vigna,https://academic.microsoft.com/author/2010447242/,male,,White/European,,http://vigna.di.unimi.it/
2098528998,david auber,https://academic.microsoft.com/author/2098528998/,male,,White/European,,https://www.labri.fr/perso/auber/david_auber_home_page/doku.php/start
2103335625,richard a davis,https://academic.microsoft.com/author/2103335625/,male,,White/European,,http://www.stat.columbia.edu/~rdavis/
2117852664,s f edwards,https://academic.microsoft.com/author/2117852664/,male,,White/European,,https://academic.microsoft.com/author/2117852664/publication/search?q=Sam%20F.%20Edwards&qe=Composite(AA.AuId%253D2117852664)&f=&orderBy=0
492771021,omar m yaghi,https://academic.microsoft.com/author/492771021/,male,,Middle Eastern,,https://academic.microsoft.com/author/492771021/publication/search?q=Omar%20M.%20Yaghi&qe=Composite(AA.AuId%253D492771021)&f=&orderBy=0
2626711973,ravi k patel,https://academic.microsoft.com/author/2626711973/,male,,Indian Subcontinet,,https://scholar.google.com/citations?user=e5MscbUAAAAJ&hl=en
2274734098,richard a berk,https://academic.microsoft.com/author/2274734098/,male,,White/European,,https://crim.sas.upenn.edu/people/richard-berk
2091754035,eric m sobel,https://academic.microsoft.com/author/2091754035/,male,,White/European,,https://bioscience.ucla.edu/faculty/eric-sobel
2951626098,kelly anne barnes,https://academic.microsoft.com/author/2951626098/,female,,White/European,,https://www.researchgate.net/profile/Kelly_Barnes3
2180902405,adolf seilacher,https://academic.microsoft.com/author/2180902405/,male,,White/European,,https://academic.microsoft.com/author/2180902405/publication/search?q=Adolf%20Seilacher&qe=Composite(AA.AuId%253D2180902405)&f=&orderBy=0
2230469306,karthik subbian,https://academic.microsoft.com/author/2230469306/,male,,Indian Subcontinet,,https://www.researchgate.net/profile/Karthik_Subbian
2169717372,yucheng low,https://academic.microsoft.com/author/2169717372/,male,,East Asian,,https://slideplayer.com/slide/7034233/
1988556028,carlos guestrin,https://academic.microsoft.com/author/1988556028/,male,,Hispanic/Latino,,https://homes.cs.washington.edu/~guestrin/
2130741227,michael okeeffe,https://academic.microsoft.com/author/2130741227/,male,,White/European,,https://asunow.asu.edu/20180918-asu-news-michael-okeeffe-wins-prestigious-aminoff-prize
2079447303,john e hopcroft,https://academic.microsoft.com/author/2079447303/,male,,White/European,,https://academic.microsoft.com/author/2079447303/publication/search?q=John%20E.%20Hopcroft&qe=Composite(AA.AuId%253D2079447303)&f=&orderBy=0
2009176085,leonard m adleman,https://academic.microsoft.com/author/2009176085/,male,,White/European,,https://academic.microsoft.com/author/2009176085/publication/search?q=Leonard%20M.%20Adleman&qe=Composite(AA.AuId%253D2009176085)&f=&orderBy=0
2124867291,lillian lee,https://academic.microsoft.com/author/2124867291/,female,,East Asian,,http://www.cs.cornell.edu/home/llee/extra/even-more-surprising.html
2713912999,b e strandberg,https://academic.microsoft.com/author/2713912999/,male,,White/European,,https://www.nobelprize.org/prizes/uncategorized/the-medical-research-council-laboratory-of-molecular-biology
12494109,edward grefenstette,https://academic.microsoft.com/author/12494109/,male,,White/European,,https://research.fb.com/people/grefenstette-edward/
2108814803,mehdi behzad,https://academic.microsoft.com/author/2108814803/,male,,Middle Eastern,,https://en.wikipedia.org/wiki/Mehdi_Behzad
2129142323,mary kay stein,https://academic.microsoft.com/author/2129142323/,female,,White/European,,https://www.ernweb.com/shop/math-discussions-lead-discourse/
1916512837,michael l rosenzweig,https://academic.microsoft.com/author/1916512837/,male,,White/European,,https://en.wikipedia.org/wiki/Michael_Rosenzweig
1988768151,jean pierre brans,https://academic.microsoft.com/author/1988768151/,male,,White/European,,https://icdsst2017.wordpress.com/jp-brans/
2306773334,robert mcgill,https://academic.microsoft.com/author/2306773334/,male,,White/European,,
1919660685,robert geisberger,https://academic.microsoft.com/author/1919660685/,male,,White/European,,https://ai.google/research/people/author39325/
1572478601,alexander zien,https://academic.microsoft.com/author/1572478601/,male,,White/European,,http://oqtans.org:10080/fml-migrated/raetsch/members/zien
2156316662,jorge m pacheco,https://academic.microsoft.com/author/2156316662/,male,,White/European,,http://atpgroup.org/people.html
2159035819,tom fawcett,https://academic.microsoft.com/author/2159035819/,male,,White/European,,https://www.linkedin.com/in/tom-fawcett/
2780486369,winter mason,https://academic.microsoft.com/author/2780486369/,male,,White/European,,http://smallsocialsystems.com/bio.html
1768377342,a d pelton,https://academic.microsoft.com/author/1768377342/,male,,White/European,,https://www.polymtl.ca/expertises/en/pelton-arthur
2539519177,stan z li,https://academic.microsoft.com/author/2539519177/,male,,East Asian,,http://www.nlpr.ia.ac.cn/users/szli/
223268448,nal kalchbrenner,https://academic.microsoft.com/author/223268448/,male,,White/European,,https://scholar.google.com/citations?user=LFyg0tAAAAAJ&hl=en
2283740280,natalie s glance,https://academic.microsoft.com/author/2283740280/,female,,White/European,,https://www.linkedin.com/in/nglance/
2012704994,vijay v vazirani,https://academic.microsoft.com/author/2012704994/,male,,Indian Subcontinet,,https://www.ics.uci.edu/~vazirani/
2210502048,younbae kang,https://academic.microsoft.com/author/2210502048/,male,,East Asian,,https://www.researchgate.net/profile/Youn_Bae_Kang
