author_id,author_name,field_name,gender,race
2034293391,andrew mcafee,social network,male,White/European
2053543515,steven skiena,social network,male,White/European
892854437,michael haenlein,social network,male,White/European
269061945,charles steinfield,social network,male,White/European
2066282134,tim finin,social network,male,White/European
2104106786,noel scott,social network,male,White/European
2046372634,paul duguid,social network,male,White/European
1938534509,andrew c inkpen,social network,male,White/European
1707147546,lynn smithlovin,social network,female,White/European
1968209981,erik brynjolfsson,social network,male,White/European
1826799450,kimmo kaski,social network,male,White/European
2119949977,patricia landolt,social network,female,White/European
2104824474,helen sharp,social network,female,White/European
342346400,krista j gile,social network,female,White/European
2345687710,lada a adamic,social network,female,White/European
62967857,peter druschel,social network,male,White/European
2138805444,duncan j watts,social network,male,White/European
285776135,michel forse,social network,male,White/European
2123184461,timothy b smith,social network,male,White/European
250223615,jennifer h fewell,social network,female,White/European
2164983246,jukkapekka onnela,social network,male,White/European
2233085770,michael e porter,social network,male,White/European
2117376714,peter j mucha,social network,male,White/European
2147406856,david b mcdonald,social network,male,White/European
2918241356,rolf kotter,complex network,male,White/European
2392787150,janake tornroos,complex network,male,White/European
2171468280,andrea rapisarda,complex network,male,White/European
2185101206,shai s shenorr,complex network,male,White/European
224018203,steven h strogatz,complex network,male,White/European
2052013336,mason a porter,complex network,male,White/European
2156316662,jorge m pacheco,complex network,male,White/European
2308500502,christofer edling,complex network,male,White/European
1930867258,david j galas,complex network,male,White/European
1157737953,alain barrat,complex network,male,White/European
2132327253,cristopher moore,complex network,male,White/European
2188681046,illes j farkas,complex network,male,White/European
2104880928,massimo marchiori,complex network,male,White/European
2108592798,francisco c santos,complex network,male,White/European
1850815613,andrea lancichinetti,complex network,male,White/European
2039327151,hilleke e hulshoff pol,complex network,male,White/European
2195478976,albertlaszlo barabasi,complex network,male,White/European
2033042772,aura reggiani,complex network,female,White/European
2083079297,catherine lebel,complex network,female,White/European
369089569,tom a b snijders,complex network,male,White/European
2405775641,david kirsh,complex network,male,White/European
2894994352,brian karrer,complex network,male,White/European
2127645396,l da f costa,complex network,male,White/European
265631590,lazaros k gallos,complex network,male,White/European
